No	TMNo	EnNo	Name	INOUT	Mode	DateTime
1	1	1		0	0	2019/07/20 13:26:16
2	1	156		0	0	2019/07/20 14:18:27
3	1	1		0	0	2019/07/20 14:20:38
4	1	1		0	0	2019/07/20 14:20:47
5	1	1		0	0	2019/07/20 14:20:52
6	1	156		0	0	2019/07/20 15:18:26
7	1	153		0	0	2019/09/08 07:09:52
8	1	184		0	0	2019/09/08 07:09:59
9	1	145		0	0	2019/09/08 07:10:33
10	1	173		0	0	2019/09/08 07:10:39
11	1	182		0	0	2019/09/08 07:15:19
12	1	170		0	0	2019/09/08 07:20:23
13	1	171		0	0	2019/09/08 07:37:59
14	1	184		0	0	2019/09/08 12:04:02
15	1	171		0	0	2019/09/08 12:04:13
16	1	153		0	0	2019/09/08 14:15:15
17	1	173		0	0	2019/09/08 14:29:49
18	1	170		0	0	2019/09/08 15:01:54
19	1	145		0	0	2019/09/08 15:06:38
20	1	182		0	0	2019/09/08 15:12:45
21	1	154		0	0	2019/09/09 06:33:16
22	1	3		0	0	2019/09/09 06:36:25
23	1	159		0	0	2019/09/09 06:38:43
24	1	160		0	0	2019/09/09 06:48:25
25	1	170		0	0	2019/09/09 06:50:22
26	1	184		0	0	2019/09/09 06:51:45
27	1	165		0	0	2019/09/09 06:51:57
28	1	156		0	0	2019/09/09 06:56:02
29	1	173		0	0	2019/09/09 06:56:19
30	1	158		0	0	2019/09/09 06:56:28
31	1	142		0	0	2019/09/09 06:56:47
32	1	42		0	0	2019/09/09 06:57:54
33	1	129		0	0	2019/09/09 06:58:04
34	1	151		0	0	2019/09/09 06:58:37
35	1	171		0	0	2019/09/09 06:59:23
36	1	187		0	0	2019/09/09 07:01:01
37	1	149		0	0	2019/09/09 07:01:17
38	1	176		0	0	2019/09/09 07:02:51
39	1	153		0	0	2019/09/09 07:03:28
40	1	176		0	0	2019/09/09 07:04:00
41	1	186		0	0	2019/09/09 07:04:26
42	1	152		0	0	2019/09/09 07:06:13
43	1	182		0	0	2019/09/09 07:07:09
44	1	146		0	0	2019/09/09 07:08:37
45	1	162		0	0	2019/09/09 07:08:50
46	1	1		0	0	2019/09/09 07:21:28
47	1	60		0	0	2019/09/09 07:27:00
48	1	187		0	0	2019/09/09 08:01:05
49	1	17		0	0	2019/09/09 08:01:48
50	1	61		0	0	2019/09/09 09:06:21
51	1	14		0	0	2019/09/09 16:17:04
52	1	14		0	0	2019/09/09 16:23:13
53	1	14		0	0	2019/09/09 17:07:19
54	1	153		0	0	2019/09/09 17:08:11
55	1	156		0	0	2019/09/09 17:11:01
56	1	1		0	0	2019/09/09 17:17:28
57	1	176		0	0	2019/09/09 17:17:55
